id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
28727,IRQ-2012-3-1076-50.3,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Bādūsh town,Bādūsh town,Nīnawá province,Qaḑā’ al Mawşil,36.426249,42.963598,POINT (42.963598 36.426249),181886,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1,
28728,IRQ-2012-3-1076-15,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-03-20, 50 dead in Iraq attacks ahead of Arab summit",,,,AFP,1,Mosul town,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335000,43.118889,POINT (43.118889 36.335000),181887,Iraq,645,Middle East,1,1,03/20/2012 00:00:00,03/20/2012 00:00:00,0,0,1,0,1,1,1,
28729,IRQ-2012-3-1076-16,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-03-20, 38 dead as Iraq rocked by wave of violence",,,,Police,1,Ramādī town,Ramadi town,Al Anbār province,Qaḑā’ ar Ramādī,33.420560,43.307779,POINT (43.307779 33.420560),177567,Iraq,645,Middle East,1,1,03/20/2012 00:00:00,03/20/2012 00:00:00,0,0,0,2,2,2,2,
28731,IRQ-2012-3-1076-81,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Security and medical sources,1,Khaznah village,Khaznah village,Nīnawá province,Qaḑā’ al Ḩamdānīyah,36.363448,43.357973,POINT (43.357973 36.363448),181887,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,7,0,7,7,7,
28733,IRQ-2012-3-1076-17,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-03-20, 28 dead as Iraq rocked by spate of attacks",,,,Provincial security committee chief Haidar al-Zambur,1,Al Ḩillah town,Al Ḩillah town,Bābil province,Qaḑā’ al Ḩillah,32.463672,44.419630,POINT (44.419630 32.463672),176129,Iraq,645,Middle East,1,1,03/20/2012 00:00:00,03/20/2012 00:00:00,0,0,0,2,2,2,2,
28734,IRQ-2012-3-1076-50.4,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Ţūzkhūrmātū town,Ţūzkhūrmātū town,Şalāḩ ad Dīn province,Tooz district,34.888083,44.632564,POINT (44.632564 34.888083),179730,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1,
28735,IRQ-2012-3-1076-82,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Police and medics,2,Ba‘qūbah town,Ba‘qūbah town (near),Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,1,0,1,1,1,
28759,IRQ-2012-3-1076-18,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Reuters news, 2012-03-19, Spate of bombs hits Iraq province north of Baghdad",,,,Reuters,1,Baladrūz town,Baladrūz town,Diyālá province,Baladrūz district,33.696313,45.077825,POINT (45.077825 33.696313),178291,Iraq,645,Middle East,1,1,03/20/2012 00:00:00,03/20/2012 00:00:00,0,0,1,0,1,1,1,
28760,IRQ-2012-3-1076-50.5,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Mosul town,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335000,43.118889,POINT (43.118889 36.335000),181887,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1,
28761,IRQ-2012-3-1076-83,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Police and medics,1,Ba‘qūbah town,Ba‘qūbah town,Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,2,0,2,2,2,
28762,IRQ-2012-3-1076-84,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Officials,1,Baladrūz town,Baladrūz town,Diyālá province,Baladrūz district,33.696313,45.077825,POINT (45.077825 33.696313),178291,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,2,0,2,2,2,
